nombre,simbolo,precio_usd,volumen_24h,cambio_24h,cap_mercado
Bitcoin,btc,$ 77539 ,  31029997564  ,-0.06587 %, 1552398347244 USD
Ethereum,eth,$ 2315.0 ,  12256978209  ,0.4809 %,"  279376497356 ,00"
Tether,usdt,$ 1.0 ,  51525296945  ,-0.00791 %,$189699526897 $
XRP,xrp,$ 1.43 ,  1919092580  ,0.31976 %, 88353800992  
BNB,bnb,$ 637.42 ,  792047761  ,0.69649 %,≈ 85902731899%
USDC,usdc,$ 0.999836 ,  11589157097  ,-0.00122 %,$  77747429358 USD
Solana,sol,$ 86.24 ,  2694273473  ,1.04456 %,$49634762575 
TRON,trx,$ 0.323825 ,  599991715  ,-1.24224 %,≈    30684796576 $
Figure Heloc,figr_heloc,$ 1.026 ,  25615822  ,-0.54526 %,$  17499704214%
Dogecoin,doge,$ 0.098422 ,  1436451035  ,1.23833 %,$    15154467520 $
WhiteBIT Coin,wbt,$ 54.86 ,  81086481  ,0.05449 %,"USD  11710505918 ,00"
USDS,usds,$ 0.999754 ,  44486666  ,-0.00524 %,"$10968869964 ,00"
Hyperliquid,hype,$ 41.06 ,  175138532  ,0.24725 %,$ 9787092917%
LEO Token,leo,$ 10.25 ,  485719  ,-0.48921 %,"USD   9439964591 ,00"
Cardano,ada,$ 0.250666 ,  283142871  ,1.17743 %,$    9269453924  
Bitcoin Cash,bch,$ 455.21 ,  131600467  ,-0.32214 %,≈    9116093278 USD
Chainlink,link,$ 9.4 ,  192850463  ,1.6344 %,$   6837600721 
Monero,xmr,$ 368.27 ,  110069871  ,-2.27117 %,   6794827486 
Zcash,zec,$ 354.58 ,  550906211  ,4.61861 %,≈ 5913385266 $
Canton,cc,$ 0.15334 ,  7458968  ,0.91657 %,$  5887665400  
